,number,sentences
1805,sg,నేనూ రాత్రి బడికి పోతానని మా అమ్మను అడిగాను .
1806,any,ఆమె కాదనలేదు .
1807,sg,మా తమ్ముడు చదువు చెప్పడం మా నాయనకు పెద్ద గొప్పగా అనిపించింది .
1808,pl,రాత్రి బడుల్లో ఆడవాళ్లు విపరీతంగా చేరారు .
1809,pl,మధ్యలో బడి మానేసినవాళ్లుకూడా చేరారు .
1810,pl,బిడ్డతల్లులుకూడా పలకాబలపం పట్టారు .
1811,any,ఎందుకో తెలుసా ?
1812,pl,లోకం మారిపోయింది అంటూ అందరూ అనుకోసాగారు .
1813,sg,పగలు తీరిక ఉన్నప్పుడు ఇంట్లో కూడా చెప్పించుకొన్నాను .
1814,sg,నాలో పట్టుదల పెరిగింది .
1815,pl,చదువులో మాకు చాలా సంగతులు తెలిశాయి .
1816,any,లోకం తెలిసే వయసు రావాలి .
1817,any,పిల్లలను కనడానికి శక్తి రావాలి .
1818,,కట్నం ఇవ్వడం నేరం NULL .
1819,sg,తీసుకోవడం అని ఒక పాఠంలో ఉంది .
1820,pl,మగవాళ్లలాగా పొలం పనులు చేస్తున్నారు .
1821,pl,సంసారాలు నడుపుతున్నారు .
1822,pl,టవున్లలో ఆడవాళ్లు సైకిళ్లు తొక్కుతున్నారు .
1823,pl,కార్లు నడుపుతున్నారు .
1824,pl,ఒకప్పుడు ఆడవాళ్లు రాజ్యాలు ఏలారు .
1825,pl,యుద్ధాలు చేశారు .
1826,pl,ఇప్పుడుకూడా మిలటరీలో ఆడవాళ్లు ఉన్నారు .
1827,pl,పోలీసుల్లో ఆడవాళ్లు ఉన్నారు .
1828,,ఆడామగా పనిలో సమానం NULL .
1829,,తెలివిలో సమానం NULL .
1830,,పైగా బిడ్డల్ని కనేది తల్లి NULL .
1831,,పెంచేది తల్లి NULL .
1832,sg,ఆమె లేకుంటే లోకమే లేదు .
1833,pl,మరి ఆడపిల్లను తక్కువగా ఎందుకు చూస్తారు ?
1834,pl,మగపిల్లలలాగా ఎందుకు చదివించరు .
1835,pl,పరాయిదాన్నిలా ఎందుకు లెక్క వేస్తారు ?
1836,pl,ఇవన్నీ మేము మాట్లాడుకొన్నాము .
1837,pl,అందులో ఇవన్నీ వచ్చేవి .
1838,sg,ఆ కోపంతో మా అమ్మమీద మండిపడేవాడు .
1839,,నేను ఆడపిల్లను NULL .
1840,pl,మాలో ఎన్నో ఆలోచనలు రేగేవి .
1841,sg,మాకు కొత్త లోకం కనిపించసాగింది .
1842,pl,ఆరు నెలలు గడిచాయి .
1843,sg,నేను ఇప్పుడు బాగా చదవగలను .
1844,pl,చాలా సంగతులు నాకు తెలిసాయి .
1845,pl,ఎవరి కన్నీళ్లు వాళ్లు మింగేవాళ్లం .
1846,pl,ఆడవాళ్లం ఒకచోట రోజూ చేరాం .
1847,pl,మా కష్టాలు ఒకరితోఒకరం చెప్పుకొన్నాం .
1848,pl,కలిసి మాట్లాడుకొన్నాము .
1849,sg,నామీద మండిపడేవాడు .
1850,pl,మాలాగా జిల్లాఅంతా లక్షలు ఆదిమంది చదువుకొన్నారట .
1851,,చదువుకొన్న వాళ్లలో ఆడవాళ్లే ఎక్కువ NULL .
1852,,చదువుకొన్న ఆడవాళ్లు చాలా ఊళ్లలో సారాయిఅంగళ్లు మూసివేయించారట .
1853,,కొన్ని చోట్ల మగవాళ్లకు సమానంగా కూలి సాధించకొన్నారట .
1854,pl,ఇవన్నీ మాకు సెంటర్లలో తెలిశాయి .
1855,pl,ఇప్పుడు మా ఊళ్లో జనచైతన్యకేంద్రాలు పెట్టారు .
1856,pl,వాటిలో ఎన్నో మంచి విషయాలు ఉన్నాయి .
1857,pl,వారంవాషం ఎన్నో సంగతులు చెబుతున్నారు .
1858,pl,పాటలు పాడిస్తున్నారు .
1859,,పాపం ఇందులో మా అమ్మ తప్పేముంది ?
1860,pl,పెద్దలచేత కొత్త విషయాలు చెప్పిస్తున్నారు .
1861,pl,మేము ఇప్పుడు పేపరుకూడా చదువుతున్నాం .
1862,pl,ఒక జిల్లాలో రాళ్లు కొట్టే ఆడవాళ్లు సొసైటీలు పెట్టుకొన్నారట .
1863,pl,ఒకరికింద పని చెయ్యడం మానుకొన్నారట .
1864,pl,ఇవన్నీ మేము పేపర్లో చదివి తెలుసుకొన్నాం .
1865,sg,ఈమధ్య మా ఊరికి కలెక్టరు వచ్చాడు .
1866,pl,ఆయనకు అందరం కలిసి అర్జీ పెట్టుకొన్నాం .
1867,pl,ఊరికి కొళాయిలు కావాలని అడిగాం .
1868,sg,ఆయన వీధికు ఒక బోరింగు వేయిస్తానని చెప్పాడు .
1869,,అంత పెద్ద అధికారిని చూడడం నాకు అదే మొదటిసారి
1870,,నా తప్పు ఏముంది ?
1871,pl,ఇప్పుడు ఏ అధికారి వచ్చినా మాకు కావలసినవి అడుగుతున్నాం .
1872,pl,ఏ అన్యాయం జరిగినా కలిసికట్టుగా ఎదిరిస్తున్నాం .
1873,sg,ఇప్పుడు నేను ఒంటరిదాన్ని కాదు .
1874,sg,లోకం తెలియని అమాయకురాలిని కాదు .
1875,pl,మా ఊళ్లో ఆడవాళ్లు ఎవ్వరూ ఒప్పుకోరు .
1876,pl,నాకు మూడుఏళ్ళు వచ్చాయి .
1877,any,మరోసంగతి మీకు తెలుసా ?
1878,,మన దేశంలో మగవాళ్లకంటే జనాభాలో ఆడవాళ్లు తక్కువ NULL .
1879,pl,మగవాళ్లకంటే ఆడవాళ్లు ఎక్కువ మంది చనిపోతున్నారు .
1880,pl,అయిదేళ్లలోపు ఆడపిల్లలు మరీఎక్కువగా చనిపోతున్నారు .
1881,pl,బిడ్డల్ని కనేటప్పుడు ఎంతోమంది తల్లులు చనిపోతున్నారు .
1882,any,ప్రపంచంలో ఎక్కడైనా ఇంతే అనుకోనేరు .
1883,sg,చాలా దేశాల్లో ఈ పరిస్థితి లేదు .
1884,any,మన దేశంలోనూ కేరళలో ఇట్లా జరగడం లేదు .
1885,any,అన్నింటా ముందున్న దేశాల్లోనూ ఇట్లా జరగడం లేదు .
1886,sg,మళ్ళీ మా అమ్మ పురుడు పోసుకొనింది .
1887,,అక్కడ జనాభాలో ఆడవాళ్లూ మగవాళ్లూ సమానం NULL .
1888,pl,మరి ఆడవాళ్లు ఎందుకు మాటిమాటికీ రోగాల పాలవుతున్నారు ?
1889,pl,ఆడవాళ్లు ఎందుకు ఎక్కువగా చనిపోతున్నారు ?
1890,pl,ఎందుకు అంటారు ?
1891,,ఆడవాళ్లకు పుష్టికరమైన తిండి దొరకడం తక్కువ NULL .
1892,pl,ఆడపిల్లలుకూడా అందరూ తినగా చివర తింటుంటారు .
1893,pl,అప్పుడప్పుడూ వాళ్లు ఆకలితోనే పడుకొంటారు .
1894,,అంతే కాదు ఆడవాళ్లకు చాకిరీ ఎక్కువ NULL .
1895,pl,ఇంకో కారణం ఆడవాళ్లు ఉండే చోట్లు ఆరోగ్యానికి మంచివి కావు .
1896,sg,ఈసారి నాకు తమ్ముడు పుట్టాడు .
1897,pl,మరోకారణం ఆరోగ్యంకోసం వాళ్లు జాగ్రత్తలు తీసుకోలేరు .
1898,sg,ఈ ప అంతా వదిలేసి ఆసుపత్రికి ఎపుడు వెళ్లేది ?
1899,,ఆడవాళ్ల జబ్బులు చూచేందుకు వసతులు లేకపోవడం NULL .
1900,sg,ఈమెను ఎలా పరీక్షించేది ?
1901,pl,వాళ్లు ఏమనుకొంటారు ?
1902,,అబ్బా ఈ ఆడళ్లతో ఇదే గొడవ NULL .
1903,pl,ఎవడు వేగుతారు ?
1904,sg,వైద్యాన్ని వ్యాపారం చేసేవాళ్లు తక్కువ ఏం కాదు .
1905,sg,కొడుకు పుట్టాడని మా నాయన సంబరపడిపోయాడు .
1906,pl,పుట్టగానే ఆడపిల్లను చంపేసేవాళ్లు ఉన్నారు .
1907,,విజయవాడలో మరో ఆడ శిశువు హత్య NULL .
1908,,తిరుపతిలో మురుగు కాల్వలో దొరికిన ఆడపిల్ల శవం గుడి మెట్లమీద అనాధ ఆడ శిశువు చెత్త కుప్పల్లో పసి పాప
1909,pl,కొంతమంది అధికార్లు అర్థం లేకుండా ఆలోచిస్తారు .
1910,sg,ఆపరేషన్లుతప్ప వాళ్లకు ఆడవాళ్ల ఆరోగ్యం పట్టదు .
1911,pl,ఇదిగో మీరంతా ఆరోగ్య కార్యకర్తల జీతాలు తింటున్నారు .
1912,any,ఆడవాళ్లకు ఆపరేషన్లు చేయించాలి .
1913,sg,ఐతే ఈ కాన్పుతో మా అమ్మ చచ్చి బతికింది .
1914,any,కనీసం నెలకు 30కేసులు పట్టుకొనిరావాలి .
1915,,కనేటప్పుడూ వైద్యం అవసరం NULL .
1916,,ఎక్కువ జాగ్రత్తలూ అవసరం NULL .
1917,sg,వైద్యం అవసరమయ్యేది ?
1918,sg,అంతటితో సుఖంగా కనేస్తుందా ?
1919,pl,ఆపరేషను చేసి బిడ్డను తీశారు .
1920,any,తగినంత తీరిక ఉండాలి .
1921,any,చదువు ఉండాలి .
1922,any,గర్భవతి కావాలో ఆమె నిర్ణయించుకొనే వీలుండాలి .
1923,,అవసరం లేనపుడు కాకుండేందుకు మార్గం ఏదో ఆమెకు తెలిసిఉండాలి .
1924,,ఇవి అన్నీ ఉంటే గర్భవతి కావడం ఆమెకు ఓ పండుగ NULL .
1925,,దీనికితోడు అలాంటప్పుడు తగిన వైద్య సాయమూ లేకుంటే ఆమె ఏమవుతుంది NULL ?
1926,,ఐతే కడుపుతో ఉన్నవాళ్లకు ఇవి సోకితే ప్రమాదం NULL .
1927,,నేను అందరిలాంటి ఆడపిల్లనే NULL .
1928,,అందువల్ల కడుపుతో ఉన్నప్పుడు జాగ్రత్తలు అవసరం NULL .
1929,,లేనివాళ్లకు మరిన్ని జాగ్రత్తలు అవసరం NULL .
1930,pl,అప్పుడే వాళ్లు సుఖంగా కంటారు .
1931,any,మంచి ఆహారం అందించాలి .
1932,any,ఐరన్ మాత్రలు ఇవ్వాలి .
1933,any,తీరిక ఉండాలి .
1934,any,ఆరోగ్యకార్యకర్త తరచుగా వచ్చి పరీక్షలు చేస్తుండాలి .
1935,sg,ఏదోకొంత ఎక్కువ ఆహారం ఇస్తే సరిపోదు .
1936,pl,ఐరన్ మాత్రలతో అంతాఅన్నీ కుదుటపడవు .
1937,sg,రోగాల పుట్టగా మారింది .
1938,pl,ఆమె చదువుకోలేదు అనుకోండి .
1939,sg,ఇలాంటప్పుడు కొంచెం మంచి ఆహారం ఇస్తే ఎలా సరిపోతుంది ?
1940,any,అసలు విషయం ఏమంటే మొదటినుంచి ఆడవాళ్లు ఆరోగ్యంగా పెరగాలి .
1941,sg,మన ఆరోగ్యం బతుకుల్ని అద్దం పడుతుంది .
1942,,గర్భంతో ఉన్నప్పుడు ఆమెకు ఇద్దరి ఆహారం అవసరం NULL .
1943,any,ఆడవాళ్లకు మగవాళ్లతో సమానంగా పనిచేసే హక్కు ఉండాలి .
1944,sg,మా నాయన సంబరపడిపోతున్నాడు .
1945,pl,ఎలా అంటారా ?
1946,any,అందుకే ఆడవాళ్లు చదువుకోవాలి .
1947,any,సొంత కాళ్లమీద నిలబడ్డం తెలుసుకోవాలి .
1948,any,ఒక కొత్త ప్రపంచం ఎలా ఏర్పడుతుందో తెలుసుకోవాలి .
1949,,వాళ్ళది కమలాపురం NULL .
1950,sg,వాళ్ళకు సొంత ఇల్లు ఉంది .
1951,,ఆ ఇంట్లో ఒక గది NULL .
1952,,ఎప్పుడూ తాళం వేసిఉంటుంది .
1953,sg,మా అమ్మ అదేపదివేలు అనుకొనింది .
1954,pl,తాళం చెవులు గంగులు మొలలోనే ఉంటాయి .
1955,sg,రోజూ ఒకసారి గంగులు ఆ గదిలోకి పోతాడు .
1956,sg,తలుపులు మూసుకుంటాడు .
1957,,గంటసేపు లోపలేలోపలే NULL .
1958,sg,తరవాత బయటకు వచ్చి తాళం వేసేవాడు .
1959,,నెలరోజులకు ఒకసారి గంగులు ఊరికిపోయేవాడు .
1960,sg,ఏదో సంచి తెచ్చేవాడు .
1961,sg,ఆ గదిలో దాచుకునేవాడు .
1962,,మా తమ్ముడు పెరిగేకొలది NULL .
1963,pl,ఒకసారి గంగులు ఇంటికి చుట్టాలు వచ్చారు .
1964,pl,ఆ గదిలో ఏమి ఉంది అని సీతాలును అడిగారు .
1965,sg,నాకు తెలియదు .
1966,any,మా ఆయనకే తెలుసు .
1967,pl,వాళ్లు గంగులును అడిగారు .
1968,sg,ఆ గదిలో ఏమీ లేదు .
1969,sg,నా అవసరం పెరిగింది .
1970,,ఊరికే తాళం వేసిఉంచాను .
1971,pl,తరవాత చుట్టాలు వెళ్లిపోయారు .
1972,sg,ఇరుగుపొరుగువారికి ఈ సంగతి తెలిసింది .
1973,sg,ఆ గదిలో బీరువా ఉంది .
1974,sg,బీరువాలో చాలా డబ్బు ఉంది .
1975,sg,పనివారికికూడా అనుమానం ఉండేది .
1976,pl,తలుపుసందుల్లోనుంచి చూసేవారు .
1977,,వాళ్లకు ఏమీ కనిపించేదికాదు .
1978,pl,తలుపులకు చెవి ఆనించి వినేవారు .
1979,sg,ఏమీ వినిపించేది కాదు .
1980,sg,లోపల ఏదో ఉంది .
1981,,అని వాళ్లకు అనుమానం NULL .
1982,pl,సీతాలును అడిగేవారు .
1983,sg,సీతాలు ఏమీ చెప్పలేకపోయేది .
1984,sg,మొగుడి సంగతి పెళ్లానికి తెలియదా .
1985,pl,అది ఏంవింత అని అందరూ అనుకొనేవారు .
1986,,వాడి ఉయ్యాల ఊపాలి.
1987,pl,కొన్ని రోజులు గడిచాయి .
1988,pl,ఒకసారి ఊళ్లో చాలా మందికి రోగాలు సోకాయి .
1989,pl,కొందరు విరేచనాలతో బాధపడుతున్నారు .
1990,,కొందరికి జ్వరం NULL .
1991,,పశువులకు రోగాలు NULL .
1992,sg,ఒకరి గేదె చనిపోయింది .
1993,sg,ఇదంతా గంగులు చేసిందే .
1994,any,గంగులుకు తెలుసు .
1995,,ఆ గదిలో అతను చేసే పని ఇదే NULL .
1996,pl,అందుకే ఇలా జరుగుతోంది అని అనుకునేవారు .
1997,,ఏమయింది .
1998,sg,మీ ఆయన చేతబడి చేశాడు .
1999,,ఆ గదిలో మీ ఆయన చేసే పని ఇదే NULL .
2000,pl,అందుకే ఊరి జనానికి రోగాలు సోకుతున్నాయి .
2001,any,గంగులు పళ్లు ఊడగొట్టాలి .
2002,pl,బయటికి పిలుచుకురా అని అరిచారు .
2003,sg,ఆయన ఏ పాపం ఎరగడు .
2004,sg,ఆ గదిలోనే ఉన్నాడు .
2005,sg,ఒకసారి వాడు ఉయ్యాలనుంచి బయటికి తల వేలాడేశాడు .
2006,pl,ఆయనను కొట్టకండి .
2007,,అంటూ సీతాలు లోపలికి పొయింది .
2008,,జనం తలుపులు తోసుకుంటూ లోపలికిలోపలికి NULL .
2009,pl,నీ పళ్లు ఊడగొడతాం .
2010,any,గంగులు ఉలకలేదు .
2011,sg,చిన్నతనంలో మా నాయన తిట్టేవాడు .
2012,any,అయినా నేను ఈ అలవాటు మానలేదు .
2013,sg,గుక్కతిప్పుకోకుండా ఏడవసాగాడు .
2014,,నా కథ అందరి ఆడపిల్లల కధే NULL .
2015,any,పిల్లల కంటపడకూడదు .
2016,any,సీతాలుకు తెలియకూడదు .
2017,,అందుకే ఈ పని NULL .
2018,sg,గది తలుపులు మూసుకుంటాను .
2019,pl,అందరూ వింతగా చూశారు .
2020,sg,వారంవారం ఊరికి పోతాను .
2021,sg,లంక పొగాకు తెచ్చుకుంటాను .
2022,sg,ఈ గదిలో దాచుకుంటాను .
2023,any,వాడిని పట్టుకోవడం నాచేత కాలేదు .
2024,sg,గదికి తాళం వేసుకుంటాను .
2025,sg,ఆ సంచిలో పొగాకు ఉంది .
2026,pl,అందరూ ఒకరిముఖంఒకరు చూసుకున్నారు .
2027,sg,ఈ రోజు నుంచీ నేను చుట్ట తాగను .
2028,sg,పొగాకు తాకను .
2029,pl,ఊరి జనం నవ్వుకుంటూ ఇళ్లకు పోయారు .
2030,pl,పగలు చుక్కలు ఎందుకు కనపడవు ?
2031,sg,మా అమ్మకు ఎక్కడలేని కోపం వచ్చింది .
2032,sg,పగలు మనకు సూర్యుడు కనపడతాడు .
2033,sg,చీకటి అయ్యాక చంద్రుడు కనబడతాడు .
2034,pl,చుక్కలు కనపడతాయి .
2035,,ఈ చుక్కలే నక్షత్రాలు NULL .
2036,pl,ఇవి పగలుకూడా ఉంటాయి .
2037,sg,ఇది భూమికి దగ్గరగా ఉంది .
2038,sg,కనుక వెలుతురు చాలా పడుతుంది .
2039,pl,నక్షత్రాలు దూరంగా ఉంటాయి .
2040,sg,నన్ను చావగొట్టింది .
2041,pl,సూర్యుడి వెలుతురులో అవి కనపడవు .
2042,pl,దిగిపోయాక అవి కనబడతాయి .
2043,sg,సూర్యుడు పగలు చాలా వెలుతురులో ఉంటాడు .
2044,pl,అందుకని చుక్కలు మనకు కనపడవు .
2045,sg,పగలు ఎలా ఏర్పడుతుంది ?
2046,,చుక్కలు సూర్యుడు భూమి అన్నీ గోళాలే NULL .
2047,pl,బంతిలా ఉంటాయి .
2048,sg,భూమి బొంగరంలా తిరుగుతుంది .
2049,sg,తన చుట్టూ తాను తిరుగుతుంది .
2050,any,అప్పటికి నాకు ఆరేళ్ళుకూడా నిండలేదు .
2051,pl,ఈ భాగంమీద సూర్యకిరణాలు పడతాయి .
2052,sg,మనకు వెలుతురు వస్తుంది .
2053,pl,దీన్నే పగలు అంటున్నాం .
2054,sg,మిగిలిన భాగంలో సూర్యుని వెలుతురు పడదు .
2055,sg,ఇక్కడ వేడి ఉండదు .
2056,sg,చీకటి ఉంటుంది .
2057,,ఇదే రాత్రి NULL .
2058,pl,పగలు సూర్యకిరణాలు నెత్తిమీద పడతాయి .
2059,,ఇదే మధ్యాహ్నం NULL .
2060,pl,కిరణాలు ఏటవాలుగా పడతాయి .
2061,,అది నాకు బాగా గుర్తు NULL .
2062,,ఈ సమయంలో వేడి తక్కువ NULL .
2063,sg,ఉదయం సాయంకాలం ఇలా ఉంటుంది .
2064,pl,భూమిమీద ఎన్నో దేశాలు ఉన్నాయి .
2065,sg,వీటిలో కొన్నిటికి వేడి బాగా తాకుతుంది .
2066,sg,కొన్నిటికి వేడి సూటిగా తగలదు .
2067,pl,కొన్ని చలిదే శాలు ఉన్నాయి .
2068,pl,కాలాలు ఎలా ఏర్పడతాయి ?
2069,any,మనకు రంగులరాట్నం తెలుసు .
2070,pl,పిల్లలు రాట్నంలో కూచుంటారు .
2071,pl,నా ఈడు ఆడపిల్లలు కొందరు బడికి పొయ్యేవాళ్లు .
2072,pl,వేగంగా తిరుగుతారు .
2073,pl,అయినా ఒకరికి ఒకరు తాకరు .
2074,pl,ఇలాగే అన్ని గ్రహాలు తిరుగుతూ ఉంటాయి .
2075,sg,భూమి నిలకడగా ఉండదు .
2076,sg,ఒక చోటనే ఉండదు .
2077,sg,అలాగే సూర్యుని చుట్టూ తిరుగుతుంది .
2078,pl,ఇలా తిరిగడానికి 365 రోజులు పడతాయి .
2079,pl,ఇలా తిరగడాన్నే ఒక సంవత్సరం అంటున్నాం .
2080,sg,నేనూ బడికి పోతానని ఏడ్చాను .
2081,sg,ఇలా భూమి తిరగడంలో రాత్రి ఏర్పడుతుంది .
2082,sg,సంవత్సరంలో కొంత కాలం చల్లగా ఉంటుంది .
2083,pl,వీటినే మనం కాలాలు అంటున్నాం .
2084,pl,భూమి తిరగడంతోనే ఈ కాలాలు ఏర్పడుతున్నాయి .
2085,,పున్నమి అమావాస్యలు ఎలా ఏర్పడుతాయి ?
2086,sg,కొన్ని రోజులు చంద్రుడు సగమే కనపడతాడు .
2087,sg,కొన్ని రోజులు పావుభాగం కనపడతాడు .
2088,,కొన్ని రోజులు నిండుగా కనపడుతాడు .
2089,sg,ఇలా ఎందుకు జరుగుతుంది .
2090,sg,అని మా నాయన కసురుకొన్నాడు .
2091,sg,అసలే కనిపించకుండా ఎందుకు ఉంటాడు .
2092,sg,సూర్యుని వెలుతురు చంద్రునిమీద పడుతుంది .
2093,sg,అందుకే చంద్రుడు రాత్రివేళ వెలుగుతాడు .
2094,sg,చీకటిలో కూడా వెలుగుతాడు .
2095,any,మనం ఒక కుండను తీసుకుంటే .
2096,sg,దాన్ని దీపం దగ్గర పెడితే ఎలా కనిపిస్తుంది .
2097,sg,పక్కనుండి చూస్తే కుండ సగం వెలుతురులో ఉంటుంది .
2098,sg,దీపం వైపు నిలబడి చూస్తే కుండంతా వెలుతురులో కనపడుతుంది .
2099,,చంద్రుని విషయం ఇంతే NULL .
2100,any,పైగా మా ఇంటిలో అందరూ పొలం పోవాలి .
2101,sg,చంద్రుడు భూమి చుట్టూ తిరుగుతాడు .
2102,sg,ఇలా తిరగడానికి నెలరోజులు పడుతుంది .
2103,sg,ఒకసారి చంద్రుడి సగభాగంలో సూర్యుని వెలుతురు పడుతుంది .
2104,sg,అప్పుడు చంద్రుడు సగం వెలుగుతూ కనపడతాడు .
2105,sg,మిగతాభాగం చీకటిగా ఉంటుంది .
2106,sg,ఒకసారి పూర్తిభాగంలో సూర్యుని వెలుతురు పడుతుంది .
2107,sg,దాంతో చంద్రుడు పూర్తిగా వెలుగుతూ కనపడతాడు .
2108,pl,ఇలా కనపడే రోజునే పున్నమి అంటాం .
2109,sg,ఒకసారి సూర్యుని వెలుతురు దూరం పోతుంది .
2110,sg,చంద్రునిమీద అసలే పడదు .
2111,any,పని చేయాలి .
2112,pl,నా కథ చెబుతాను వినండి .
2113,sg,చంద్రుడు వెలుగుతూ కనపడడు .
2114,pl,దీన్నే అమవాస్య అంటాం .
2115,,సూర్యుడు ఒక పెద్ద గ్రహం
2116,pl,దీని చుట్టూ తొమ్మిది గ్రహాలు ఉన్నాయి .
2117,pl,ఇవి తిరుగుతున్నాయి .
2118,,అందుకే ఇక్కడ మనం ఉండగల్గుతున్నాం .
2119,pl,గ్రహాల చుట్టూ చిన్న గ్రహాలు ఉంటాయి .
2120,pl,మనుషులుకూడా ఉపగ్రహాలను తయారుచేశారు .
2121,any,మా పొలంలో పని లేనపుడు కూలికి పోవాలి .
2122,pl,వానలు ఎప్పుడు పడతాయో చెబుతాయి .
2123,pl,అందుకే పేపరులో రాస్తారు .
2124,pl,రేడియోలో చెబుతారు .
2125,any,గ్రాహాలను దగ్గరగా చూడాలంటే ?
2126,pl,ఆకాశంలో మబ్బులు కనపడతాయి .
2127,sg,నేలపైన గాలి ఉంది .
2128,sg,దుమ్ము కనపడుతుంది .
2129,sg,ఇంకా పైకి పోతే గాలి ఉండదు .
2130,any,అక్కడ ఎటు తిరిగినా ఏమీ తెలియలేదు .
2131,pl,మరిఅప్పుడు మా తమ్ముడిని ఎవరు చూస్తారు ?
2132,pl,ఆకాశంలో చుక్కలు కనపడతాయి .
2133,,గ్రహాలు కనపడాతాయి .
2134,any,వీటిని దగ్గరగా చూడాలి .
2135,pl,అక్కడికి పోలేం .
2136,any,అందుకే నేలమీదనుంచే చూడాలి .
2137,pl,మామూలు కంటితో చూడలేం .
2138,sg,అందుకే వీటిని చూసేందుకు దారి దొరికింది .
2139,pl,ఒక పరికరం కనిపెట్టారు .
2140,pl,దీంతో దూరానివి దగ్గరగా కనపడతాయి .
2141,pl,చిన్నవి పెద్దవిగా కనపడతాయి .
2142,any,అందుకని నన్ను బడికి పంపలేదు .
2143,,చంద్రునిమీద మనం ఉండవచ్చా ?
2144,sg,చంద్రుడు చల్లగా ఉంటాడు .
2145,sg,ఇక్కడ గాలి నీరు లేవట .
2146,sg,అక్కడ ఏ జీవాలు లేవట .
2147,pl,అక్కడికి పోతే మనం తేలికగా ఉంటామట .
2148,pl,మనం నేలమీద 60కిలోల బరువు ఉంటే చంద్రునిమీద 6 కిలోలే ఉంటామట .
2149,any,"ముసలి తల్లిదండ్రులు, భార్య, కుమారుడు, కుమార్తెను అతను పోషించాలి ."
2150,,శంకరానికి ఉన్న పొలం ఒకేఒక ఎకరం
2151,any,నాకు చదువు రాలేదు .
2152,sg,కనుక పొలం తనే సాగు చేసుకుంటున్నాడు .
2153,sg,రకరకాల ఆకుకూరలు సాగు చేస్తూ సంపాదన పెంచుకున్నాడు .
2154,pl,కుటుంబంలో అంతా చీకూచింతా లేకుండా జీవిస్తున్నారు .
2155,pl,పిల్లలు చదువుకుంటున్నారు .
2156,sg,కొంత డబ్బు వెనకేసి శంకరం రెండు పాడిగేదెలను కొన్నాడు .
2157,sg,ఇంటిలో పాలు పెరుగు కొనకుండా జరిగిపోతున్నది .
2158,sg,ఇంతలో మా తమ్ముడికి ఆరోఏడు వచ్చింది .
2159,any,' బాగానే ఉన్నా .
2160,sg,రమణ తన బాధలు చెప్పుకున్నాడు .
2161,,రమణకు ఇద్దరు సంతానం
2162,sg,ముసలి తల్లి ఉంది .
2163,any,అతనితో పాటు భార్య పొలం పని చేసినా కుటుంబం గడవటం లేదు .
2164,sg,రమణకు ఎకరం పొలం ఉంది .
2165,sg,అందులో ఒక సంవత్సరం జొన్న వేసేవాడు .
2166,pl,వాడికి కొత్త గుడ్డలు కుట్టించారు .
2167,sg,మరుస్స్టి సంవత్సరం మరొక పంట వేసేవాడు .
2168,sg,ఇతరుల పొలాల్లో కూడా కూలిపనికి పోయేవాడు .
2169,,వచ్చే ఆదాయం తక్కువ
2170,any,కుటుంబ పోషణకు పిల్లల చదువుకు సంపాదన చాలటంలేదు .
2171,any,రమణకు అప్పులు చేయక తప్పటంలేదు .
2172,sg,శంకరం రమణ చెప్పినదంతా విన్నాడు .
2173,pl,డాక్టర్లు ఆకుకూరలు ఎక్కువగా తినమంటున్నారు .
2174,pl,ఆకుకూరల్లో పోషకపదార్థాలు ఉంటాయి .
2175,,పలకాబలపం కొనిచ్చారు .
2176,pl,ఖనిజాలుకూడా ఉంటాయి .
2177,pl,కంటి జబ్బులు రాకుండా కాపాడతాయి .
2178,,కనీసం పది రోజుల్లో మూడు రోజులు ఆకుకూరలు తినటం మంచిది
2179,sg,ఖర్చు ఆదా అవుతుంది .
2180,sg,ఆకుకూరలు పెరగటానికి ఎక్కువ కాలం పట్టదు .
2181,any,ఆకుకూరల సాగుకు తక్కువ నేల ఎంచుకోవాలి .
2182,any,ఒక రకం ఆకుకూరను ఐదు సెంట్ల భూమిలో పెంచవచ్చు .
2183,any,అనగా అరెకరం పొలంలో పది రకాల ఆకుకూరలు సాగు చేయవచ్చు .
2184,pl,ఆకుకూరలు గింజలు చల్లి పెంచుతారు .
2185,any,పొలంలోనే కాక ఇంటి ఆవరణలో కూడా పెంచవచ్చు .
2186,any,ఆకుకూరలు అమ్ముకోవచ్చు .
2187,any,ఆదాయం పొందవచ్చు .
2188,any,కూరల కర్చు తగ్గించుకోవచ్చు .
2189,any,కొంత సొమ్మును ఆదా చేసుకోవచ్చు .
2190,pl,బాగా అమ్ముడుపోతాయి .
2191,pl,నీరు పోస్తూ ఉంటే నిగనిగలాడుతూ పెరుగుతాయి .
2192,sg,పురుగు మందుల వాడకం అవసరం ఎక్కువగా ఉండదు .
2193,any,నెయిదిబ్బల్లోని మెత్తటి ఎరువు వేయవచ్చు .
2194,any,ఏదైనా తెగులు సోకితే అవసరమైన మందు కొట్టాలి .
2195,sg,టీచరమ్మకు అప్పగించివచ్చాడు .
2196,,ఆకుకూరలు చాలా రకాలు ఉన్నవి
2197,,జనం ఎక్కువగా వాడే ఆకుకూరలు పెంచటం మంచిది
2198,sg,పాల కూర చాలా రుచిగా ఉంటుంది .
2199,pl,దీని ఆకులు నాజూగ్గా ఉంటాయి .
2200,pl,కాడనుకూడా కూరగా వండుతారు .
2201,,ఇందులో పోషకపదార్థాలు ఎక్కువ
